啊	85ED
阿	85EE
埃	85EF
挨	85F0
哎	85F1
唉	85F2
哀	85F3
皑	85F4
癌	85F5
蔼	85F6
矮	85F7
艾	85F8
碍	85F9
爱	85FA
隘	85FB
鞍	85FC
氨	85FD
安	85FE
俺	85FF
按	8680
暗	8681
岸	8682
胺	8683
案	8684
肮	8685
昂	8686
盎	8687
凹	8688
敖	8689
熬	868A
翱	868B
衽	868C
傲	868D
奥	868E
懊	868F
澳	8690
芭	8691
捌	8692
扒	8693
叭	8694
吧	8695
笆	8696
八	8697
疤	8698
巴	8699
拔	869A
跋	869B
靶	869C
把	869D
耙	869E
坝	869F
霸	86A0
罢	86A1
爸	86A2
白	86A3
柏	86A4
百	86A5
摆	86A6
佰	86A7
败	86A8
拜	86A9
稗	86AA
斑	86AB
班	86AC
搬	86AD
扳	86AE
般	86AF
颁	86B0
板	86B1
版	86B2
扮	86B3
拌	86B4
伴	86B5
瓣	86B6
半	86B7
办	86B8
绊	86B9
邦	86BA
帮	86BB
梆	86BC
榜	86BD
膀	86BE
绑	86BF
棒	86C0
磅	86C1
蚌	86C2
镑	86C3
傍	86C4
谤	86C5
苞	86C6
胞	86C7
包	86C8
褒	86C9
剥	86CA
薄	86CB
雹	86CC
保	86CD
堡	86CE
饱	86CF
宝	86D0
抱	86D1
报	86D2
暴	86D3
豹	86D4
鲍	86D5
爆	86D6
杯	86D7
碑	86D8
悲	86D9
卑	86DA
北	86DB
辈	86DC
背	86DD
贝	86DE
钡	86DF
倍	86E0
狈	86E1
备	86E2
惫	86E3
焙	86E4
被	86E5
奔	86E6
苯	86E7
本	86E8
笨	86E9
崩	86EA
绷	86EB
甭	86EC
泵	86ED
蹦	86EE
迸	86EF
逼	86F0
鼻	86F1
比	86F2
鄙	86F3
笔	86F4
彼	86F5
碧	86F6
蓖	86F7
蔽	86F8
毕	86F9
毙	86FA
毖	86FB
币	86FC
庇	86FD
痹	86FE
闭	86FF
敝	8780
弊	8781
必	8782
辟	8783
壁	8784
臂	8785
避	8786
陛	8787
鞭	8788
边	8789
编	878A
贬	878B
扁	878C
便	878D
变	878E
卞	878F
辨	8790
辩	8791
辫	8792
遍	8793
标	8794
彪	8795
膘	8796
表	8797
鳖	8798
憋	8799
别	879A
瘪	879B
彬	879C
斌	879D
濒	879E
滨	879F
宾	87A0
摈	87A1
兵	87A2
冰	87A3
柄	87A4
丙	87A5
秉	87A6
饼	87A7
炳	87A8
病	87A9
并	87AA
玻	87AB
菠	87AC
播	87AD
拨	87AE
钵	87AF
波	87B0
博	87B1
勃	87B2
搏	87B3
铂	87B4
箔	87B5
伯	87B6
帛	87B7
舵	87B8
脖	87B9
膊	87BA
渤	87BB
泊	87BC
驳	87BD
捕	87BE
卜	87BF
哺	87C0
补	87C1
埠	87C2
不	87C3
布	87C4
步	87C5
簿	87C6
部	87C7
怖	87C8
擦	87C9
猜	87CA
裁	87CB
材	87CC
才	87CD
财	87CE
睬	87CF
踩	87D0
采	87D1
彩	87D2
菜	87D3
